specialty,language,model,count,avg_wer,avg_similarity,avg_medical_accuracy,speaker_accuracy
cardiology,en-CA,Unknown Model (Semi Noise),10,0.7239958144148472,0.7019022170040131,0.7831471306471306,0.7702076699625133
cardiology,fr-CA,Unknown Model (Semi Noise),10,0.5645726189518243,0.6951554588078885,0.8283225108225107,0.9720829235353282
gp,en-CA,Unknown Model (Semi Noise),10,0.6093414193466872,0.7974358158187502,0.8846459096459096,0.8169869289161085
gp,fr-CA,Unknown Model (Semi Noise),10,0.7036660425109239,0.5948509845714585,0.9121212121212121,0.9708585170404642
cardiology,fr-CA,Nova 2 (No Noise),10,0.27878918669790664,0.8406583231149046,0.8825479912244617,0.9712275221584298
gp,en-CA,Azure (No Noise),10,1.1893277614100493,0.5599276654552695,0.8256349206349206,0.7823837215967206
gp,fr-CA,Nova 2 (No Noise),10,0.2770761198244189,0.8459091557292849,0.9377564102564102,0.9715975136712993
cardiology,en-CA,Azure (Full Noise),10,1.1020082528904518,0.6714274400376256,0.7803968253968254,0.7645957831436544
cardiology,fr-CA,Nova 2 (Full Noise),10,0.32063231488417215,0.8192391077324753,0.8805277892042597,0.9689796951555542
gp,en-CA,Azure (Full Noise),10,1.1269632797477667,0.5949309860219083,0.8207799145299145,0.7607851106396183
gp,fr-CA,Nova 2 (Full Noise),10,0.2760307129820994,0.8543016838916888,0.9427564102564103,0.9714498296631457
cardiology,en-CA,Azure (Semi Noise),10,1.1024938154941113,0.6664462387736863,0.7904761904761903,0.7661471024314436
cardiology,fr-CA,Nova 2 (Semi Noise),10,0.17519301001393345,0.902902436462977,0.9338186160244983,0.9721960203964823
gp,en-CA,Azure (Semi Noise),10,1.0812807088973009,0.5923390394915977,0.8486309523809524,0.7690361216944599
gp,fr-CA,Nova 2 (Semi Noise),10,0.30855398007971624,0.8568012377316105,0.9546153846153846,0.9674205636308149
cardiology,en-CA,Unknown Model (No Noise),10,1.0254394362032921,0.7610358633082472,0.8298707773707774,0.7716420386796747
cardiology,fr-CA,Unknown Model (No Noise),10,0.6797510398413549,0.6114419732482297,0.8523148148148149,0.9680890509506266
gp,en-CA,Unknown Model (No Noise),10,0.7958940602239452,0.769012108345289,0.9000049950049951,0.7710124498765317
gp,fr-CA,Unknown Model (No Noise),10,0.5660141160922857,0.6611749605140915,0.9054545454545455,0.9702791477740489
cardiology,en-CA,Nova 3 medical (Full Noise),10,0.8838353296523772,0.6804842188717325,0.8200518925518925,0.8137866137525579
cardiology,fr-CA,Azure (Full Noise),10,0.8573028953265517,0.5881512135853387,0.7892929292929293,0.9700473236546499
gp,en-CA,Nova 3 medical (Full Noise),10,0.5980716892880669,0.7750971026550719,0.9063553113553112,0.8361687396997637
gp,fr-CA,Azure (Full Noise),10,0.7471894505089749,0.5262246907608685,0.9179487179487179,0.9683952807744504
