specialty,language,model,count,avg_wer,avg_similarity,avg_medical_accuracy,speaker_accuracy
cardiology,en-CA,Semi-noise - Azure for French-Nova-3-medical- for English,10,0.4684717542958892,0.7937054759501365,0.8876515151515152,0.854469696969697
cardiology,fr-CA,Semi-noise - Azure for French-Nova-3-medical- for English,10,0.904844263032554,0.4393842455762189,0.7836994949494949,1.0
gp,en-CA,Semi-noise - Azure for French-Nova-3-medical- for English,10,0.5184817124451445,0.8276126519295577,0.9298076923076923,0.8589335664335664
gp,fr-CA,Semi-noise - Azure for French-Nova-3-medical- for English,10,1.0095986932528866,0.3948457497640422,0.8638888888888889,1.0
cardiology,fr-CA,Without-noise-Azure for English-Nova-2- for French,10,0.7606549462823536,0.8286045484399127,0.9177195027195026,1.0
gp,en-CA,Without-noise-Azure for English-Nova-2- for French,10,1.3804252352252004,0.44311628720669755,0.876309523809524,0.9019047619047619
gp,fr-CA,Without-noise-Azure for English-Nova-2- for French,10,0.28263902413323183,0.87382121214458,0.9450854700854702,1.0
cardiology,en-CA,Noisy-Azure for English-Nova-2- for French,10,0.8524151128723281,0.6819051265171222,0.8084848484848486,0.7901515151515152
cardiology,fr-CA,Noisy-Azure for English-Nova-2- for French,10,0.7557818524730896,0.8318071704404442,0.9177195027195026,1.0
gp,en-CA,Noisy-Azure for English-Nova-2- for French,10,0.8247062357956836,0.70443385918376,0.8957142857142857,0.8173214285714285
gp,fr-CA,Noisy-Azure for English-Nova-2- for French,10,0.28263902413323183,0.87382121214458,0.9450854700854702,1.0
cardiology,en-CA,Semi-noise - Azure for English-Nova-2 for French,10,0.7799795311096498,0.7352580706420062,0.8084848484848486,0.7751515151515151
cardiology,fr-CA,Semi-noise - Azure for English-Nova-2 for French,10,0.7140573143474072,0.8819111056107504,0.9599417249417248,1.0
gp,en-CA,Semi-noise - Azure for English-Nova-2 for French,10,0.7490157036044897,0.7423205953158609,0.9040476190476191,0.7989880952380953
gp,fr-CA,Semi-noise - Azure for English-Nova-2 for French,10,0.19689091303014217,0.927769904347068,0.9534188034188034,1.0
cardiology,en-CA,Without-noise-Azure for French-Nova-3-medical- for English,10,0.7327236396953111,0.7601275882916683,0.8573737373737375,0.7897474747474749
cardiology,fr-CA,Without-noise-Azure for French-Nova-3-medical- for English,10,0.7494084406493089,0.5440752143032292,0.8033585858585859,1.0
gp,en-CA,Without-noise-Azure for French-Nova-3-medical- for English,10,0.6757983172178539,0.8121961320653522,0.9256410256410257,0.8429487179487181
gp,fr-CA,Without-noise-Azure for French-Nova-3-medical- for English,10,0.716957465777872,0.6051227420052184,0.8957142857142857,1.0
cardiology,en-CA,Noisy-Azure for French-Nova-3-medical- for English,10,0.4648332007999839,0.7901282128389261,0.8465404040404041,0.8222474747474747
cardiology,fr-CA,Noisy-Azure for French-Nova-3-medical- for English,10,0.8824365049635808,0.4378125877777908,0.7407070707070706,1.0
gp,en-CA,Noisy-Azure for French-Nova-3-medical- for English,10,0.7229186986081679,0.7705009843593158,0.9502564102564103,0.901048951048951
gp,fr-CA,Noisy-Azure for French-Nova-3-medical- for English,10,0.9414743837584746,0.4220826775382652,0.8666666666666668,1.0
