specialty,language,model,avg_wer,avg_similarity,avg_medical_accuracy,speaker_accuracy,count
cardiology,en-CA,Semi-noise - Azure for French-Nova-3-medical- for English,0.5962337843553681,0.7478038464770747,0.8353993228993228,0.8139473026973028,20
cardiology,fr-CA,Semi-noise - Azure for French-Nova-3-medical- for English,0.7347084409921891,0.5672698521920536,0.8060110028860029,1.0,20
gp,en-CA,Semi-noise - Azure for French-Nova-3-medical- for English,0.5639115658959158,0.812524233874154,0.907226800976801,0.8420163863913863,20
gp,fr-CA,Semi-noise - Azure for French-Nova-3-medical- for English,0.8566323678819054,0.4948483671677503,0.8880050505050507,1.0,20
cardiology,fr-CA,Without-noise-Azure for English-Nova-2- for French,0.51972206649013,0.8346314357774087,0.9001337469719823,1.0,20
gp,en-CA,Without-noise-Azure for English-Nova-2- for French,1.2848764983176246,0.5015219763309835,0.8509722222222222,0.8447619047619048,20
gp,fr-CA,Without-noise-Azure for English-Nova-2- for French,0.2798575719788253,0.8598651839369325,0.9414209401709401,1.0,20
cardiology,en-CA,Noisy-Azure for English-Nova-2- for French,0.9772116828813898,0.6766662832773738,0.794440836940837,0.7787662337662338,20
cardiology,fr-CA,Noisy-Azure for English-Nova-2- for French,0.5382070836786308,0.8255231390864598,0.8991236459618813,1.0,20
gp,en-CA,Noisy-Azure for English-Nova-2- for French,0.9758347577717252,0.6496824226028343,0.8582471001221001,0.7925320512820513,20
gp,fr-CA,Noisy-Azure for English-Nova-2- for French,0.27933486855766565,0.8640614480181343,0.9439209401709402,1.0,20
cardiology,en-CA,Semi-noise - Azure for English-Nova-2 for French,0.9412366733018803,0.7008521547078462,0.7994805194805197,0.7724567099567098,20
cardiology,fr-CA,Semi-noise - Azure for English-Nova-2 for French,0.44462516218067033,0.8924067710368637,0.9468801704831116,1.0,20
gp,en-CA,Semi-noise - Azure for English-Nova-2 for French,0.9151482062508955,0.6673298174037294,0.8763392857142855,0.7874404761904762,20
gp,fr-CA,Semi-noise - Azure for English-Nova-2 for French,0.2527224465549292,0.892285571039339,0.954017094017094,1.0,20
cardiology,en-CA,Without-noise-Azure for French-Nova-3-medical- for English,0.8790815379493016,0.7605817257999578,0.8436222573722574,0.7825904650904649,20
cardiology,fr-CA,Without-noise-Azure for French-Nova-3-medical- for English,0.7145797402453319,0.5777585937757296,0.8278367003367004,1.0,20
gp,en-CA,Without-noise-Azure for French-Nova-3-medical- for English,0.7358461887208996,0.7906041202053207,0.9128230103230102,0.8100141525141525,20
gp,fr-CA,Without-noise-Azure for French-Nova-3-medical- for English,0.6414857909350787,0.633148851259655,0.9005844155844157,1.0,20
cardiology,en-CA,Noisy-Azure for French-Nova-3-medical- for English,0.6743342652261806,0.7353062158553294,0.8332961482961483,0.8194433344433344,20
cardiology,fr-CA,Noisy-Azure for French-Nova-3-medical- for English,0.8698697001450663,0.5129819006815648,0.7649999999999999,1.0,20
gp,en-CA,Noisy-Azure for French-Nova-3-medical- for English,0.6604951939481174,0.7727990435071938,0.9283058608058609,0.8732350982350983,20
gp,fr-CA,Noisy-Azure for French-Nova-3-medical- for English,0.8443319171337247,0.47415368414956677,0.8923076923076925,1.0,20
