specialty,language,model,count,avg_wer,avg_similarity,avg_medical_accuracy,speaker_accuracy
cardiology,en-CA,Unknown Model (Semi Noise),10,0.4684717542958892,0.7937054759501365,0.8876515151515152,0.8467521866868397
cardiology,fr-CA,Unknown Model (Semi Noise),10,0.904844263032554,0.4393842455762189,0.7836994949494949,0.9692880940509335
gp,en-CA,Unknown Model (Semi Noise),10,0.5184817124451445,0.8276126519295577,0.9298076923076923,0.8552530090013433
gp,fr-CA,Unknown Model (Semi Noise),10,1.0095986932528866,0.3948457497640422,0.8638888888888889,0.9712127891292066
cardiology,fr-CA,Nova 2 (No Noise),10,0.7606549462823536,0.8286045484399127,0.9177195027195026,0.9665061770072034
gp,en-CA,Azure (No Noise),10,1.3804252352252004,0.44311628720669755,0.876309523809524,0.8944059420906285
gp,fr-CA,Nova 2 (No Noise),10,0.28263902413323183,0.87382121214458,0.9450854700854702,0.9682546901684141
cardiology,en-CA,Azure (Full Noise),10,0.8524151128723281,0.6819051265171222,0.8084848484848486,0.7901515151515152
cardiology,fr-CA,Nova 2 (Full Noise),10,0.7557818524730896,0.8318071704404442,0.9177195027195026,0.9712481237717251
gp,en-CA,Azure (Full Noise),10,0.8247062357956836,0.70443385918376,0.8957142857142857,0.8129545811417304
gp,fr-CA,Nova 2 (Full Noise),10,0.28263902413323183,0.87382121214458,0.9450854700854702,0.9723973024635629
cardiology,en-CA,Azure (Semi Noise),10,0.7799795311096498,0.7352580706420062,0.8084848484848486,0.7751515151515151
cardiology,fr-CA,Nova 2 (Semi Noise),10,0.7140573143474072,0.8819111056107504,0.9599417249417248,0.9690364689639711
gp,en-CA,Azure (Semi Noise),10,0.7490157036044897,0.7423205953158609,0.9040476190476191,0.7989880952380953
gp,fr-CA,Nova 2 (Semi Noise),10,0.19689091303014217,0.927769904347068,0.9534188034188034,0.9706345347366785
cardiology,en-CA,Unknown Model (No Noise),10,0.7327236396953111,0.7601275882916683,0.8573737373737375,0.7897474747474749
cardiology,fr-CA,Unknown Model (No Noise),10,0.7494084406493089,0.5440752143032292,0.8033585858585859,0.9702806235648543
gp,en-CA,Unknown Model (No Noise),10,0.6757983172178539,0.8121961320653522,0.9256410256410257,0.8381837318713204
gp,fr-CA,Unknown Model (No Noise),10,0.716957465777872,0.6051227420052184,0.8957142857142857,0.9686936384379079
cardiology,en-CA,Nova 3 medical (Full Noise),10,0.4648332007999839,0.7901282128389261,0.8465404040404041,0.8222474747474747
cardiology,fr-CA,Azure (Full Noise),10,0.8824365049635808,0.4378125877777908,0.7407070707070706,0.9685504929156217
gp,en-CA,Nova 3 medical (Full Noise),10,0.7229186986081679,0.7705009843593158,0.9502564102564103,0.8894104523688329
gp,fr-CA,Azure (Full Noise),10,0.9414743837584746,0.4220826775382652,0.8666666666666668,0.9690316448063587
