specialty,language,model,avg_wer,avg_similarity,avg_medical_accuracy,speaker_accuracy,count
cardiology,en-CA,Unknown Model (Semi Noise),0.5962337843553681,0.7478038464770747,0.8353993228993228,0.8084799283246765,20
cardiology,fr-CA,Unknown Model (Semi Noise),0.7347084409921891,0.5672698521920536,0.8060110028860029,0.970685508793131,20
gp,en-CA,Unknown Model (Semi Noise),0.5639115658959158,0.812524233874154,0.907226800976801,0.836119968958726,20
gp,fr-CA,Unknown Model (Semi Noise),0.8566323678819054,0.4948483671677503,0.8880050505050507,0.9710356530848356,20
cardiology,fr-CA,Nova 2 (No Noise),0.51972206649013,0.8346314357774087,0.9001337469719823,0.9688668495828165,20
gp,en-CA,Azure (No Noise),1.2848764983176246,0.5015219763309835,0.8509722222222222,0.8383948318436746,20
gp,fr-CA,Nova 2 (No Noise),0.2798575719788253,0.8598651839369325,0.9414209401709401,0.9699261019198566,20
cardiology,en-CA,Azure (Full Noise),0.9772116828813898,0.6766662832773738,0.794440836940837,0.7773736491475847,20
cardiology,fr-CA,Nova 2 (Full Noise),0.5382070836786308,0.8255231390864598,0.8991236459618813,0.9701139094636396,20
gp,en-CA,Azure (Full Noise),0.9758347577717252,0.6496824226028343,0.8582471001221001,0.7868698458906742,20
gp,fr-CA,Nova 2 (Full Noise),0.27933486855766565,0.8640614480181343,0.9439209401709402,0.9719235660633544,20
cardiology,en-CA,Azure (Semi Noise),0.9412366733018803,0.7008521547078462,0.7994805194805197,0.7706493087914792,20
cardiology,fr-CA,Nova 2 (Semi Noise),0.44462516218067033,0.8924067710368637,0.9468801704831116,0.9706162446802267,20
gp,en-CA,Azure (Semi Noise),0.9151482062508955,0.6673298174037294,0.8763392857142855,0.7840121084662776,20
gp,fr-CA,Nova 2 (Semi Noise),0.2527224465549292,0.892285571039339,0.954017094017094,0.9690275491837468,20
cardiology,en-CA,Unknown Model (No Noise),0.8790815379493016,0.7605817257999578,0.8436222573722574,0.7806947567135747,20
cardiology,fr-CA,Unknown Model (No Noise),0.7145797402453319,0.5777585937757296,0.8278367003367004,0.9691848372577405,20
gp,en-CA,Unknown Model (No Noise),0.7358461887208996,0.7906041202053207,0.9128230103230102,0.804598090873926,20
gp,fr-CA,Unknown Model (No Noise),0.6414857909350787,0.633148851259655,0.9005844155844157,0.9694863931059784,20
cardiology,en-CA,Nova 3 medical (Full Noise),0.6743342652261806,0.7353062158553294,0.8332961482961483,0.8180170442500163,20
cardiology,fr-CA,Azure (Full Noise),0.8698697001450663,0.5129819006815648,0.7649999999999999,0.9692989082851359,20
gp,en-CA,Nova 3 medical (Full Noise),0.6604951939481174,0.7727990435071938,0.9283058608058609,0.8627895960342983,20
gp,fr-CA,Azure (Full Noise),0.8443319171337247,0.47415368414956677,0.8923076923076925,0.9687134627904047,20
