file,specialty,language_code,language,visit_type,speaker_accuracy,precision,recall,f1_score,medical_terms_count,wer,cer,bleu,cosine_similarity
cardiology_8_consultation,cardiology,en-CA,English,consultation,0.5833333333333334,1.0,0.8181818181818182,0.9,11,0.2621082621082621,0.21747967479674796,0.7408966176165013,0.941501252945736
cardiology_9_followup,cardiology,en-CA,English,followup,0.75,1.0,1.0,1.0,8,0.125,0.09785202863961814,0.8689271747867677,0.9442109463654922
cardiology_9_consultation,cardiology,en-CA,English,consultation,0.8333333333333334,1.0,0.8888888888888888,0.9411764705882353,9,0.2029520295202952,0.1962066710268149,0.7982632695143357,0.940000439002353
cardiology_10_followup,cardiology,en-CA,English,followup,0.6428571428571429,1.0,0.8,0.888888888888889,10,0.23318385650224216,0.21348314606741572,0.7180306263156767,0.8996217462776457
cardiology_4_followup,cardiology,en-CA,English,followup,0.42857142857142855,1.0,0.8333333333333334,0.9090909090909091,6,0.32792207792207795,0.2717201166180758,0.7052066515231558,0.9149765804906551
cardiology_7_followup,cardiology,en-CA,English,followup,0.6666666666666666,1.0,1.0,1.0,5,0.21991701244813278,0.18012422360248448,0.802943835469151,0.9580364506000605
cardiology_10_consultation,cardiology,en-CA,English,consultation,0.8,1.0,1.0,1.0,13,0.3054662379421222,0.2979546710889994,0.7689310966812195,0.8936593666107171
cardiology_3_followup,cardiology,en-CA,English,followup,0.6363636363636364,1.0,0.875,0.9333333333333333,8,0.14285714285714285,0.1496,0.8400170200249983,0.9439411841909038
cardiology_2_followup,cardiology,en-CA,English,followup,0.6428571428571429,1.0,0.8,0.888888888888889,5,0.23754789272030652,0.2282016348773842,0.7573331143308937,0.9071627972363775
cardiology_6_followup,cardiology,en-CA,English,followup,0.8181818181818182,1.0,0.8333333333333334,0.9090909090909091,6,0.19444444444444445,0.17523167649536647,0.7606921228295227,0.9184492405339983
cardiology_7_consultation,cardiology,en-CA,English,consultation,0.6,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.1870748299319728,0.1643312101910828,0.852369075163488,0.9376413945764224
cardiology_2_consultation,cardiology,en-CA,English,consultation,0.8666666666666667,1.0,0.9166666666666666,0.9565217391304348,12,0.1661721068249258,0.15826558265582655,0.8179394938220039,0.9309547956936062
cardiology_6_consultation,cardiology,en-CA,English,consultation,0.7142857142857143,1.0,1.0,1.0,8,0.29491525423728815,0.23347483323226198,0.7674185309580551,0.8946434374187231
