file,specialty,language_code,language,visit_type,speaker_accuracy,original_turn_count,transcript_turn_count,original_doctor_terms,original_patient_terms,transcript_doctor_terms,transcript_patient_terms,precision,recall,f1_score,medical_terms_count,exact_matches,near_matches,wer,cer,bleu,cosine_similarity,model
cardiology_8_consultation,cardiology,en-CA,English,consultation,0.5,18,14,9,3,6,3,1.0,0.8888888888888888,0.9411764705882353,18,16,0,0.25071225071225073,0.22408536585365854,0.6876521844498613,0.9282558503408869,transkriptor
cardiology_9_followup,cardiology,en-CA,English,followup,0.5833333333333334,12,9,9,0,7,0,1.0,1.0,1.0,15,15,0,0.13392857142857142,0.13365155131264916,0.8444747516778021,0.9562258807110068,transkriptor
cardiology_9_consultation,cardiology,en-CA,English,consultation,0.5625,16,12,11,0,10,0,1.0,0.8947368421052632,0.9444444444444444,19,17,0,0.16974169741697417,0.16154349247874428,0.8061001627360612,0.9444641955308837,transkriptor
cardiology_10_followup,cardiology,en-CA,English,followup,0.6428571428571429,14,10,8,3,5,3,1.0,0.8823529411764706,0.9375,17,15,0,0.2242152466367713,0.2158908507223114,0.723039678175538,0.9059840209147766,transkriptor
cardiology_4_followup,cardiology,en-CA,English,followup,0.6428571428571428,14,12,8,2,4,1,1.0,0.7857142857142857,0.88,14,11,0,0.19480519480519481,0.18017492711370262,0.7615742360857038,0.9566258012092037,transkriptor
cardiology_7_followup,cardiology,en-CA,English,followup,0.6428571428571429,14,11,3,1,2,1,1.0,1.0,1.0,8,8,0,0.14937759336099585,0.13819875776397517,0.8105718367290659,0.9587818214880046,transkriptor
cardiology_10_consultation,cardiology,en-CA,English,consultation,0.5,18,14,16,5,12,5,1.0,0.8333333333333334,0.9090909090909091,24,20,0,0.19292604501607716,0.17191818684355997,0.7673776099407871,0.9320297640258555,transkriptor
cardiology_3_followup,cardiology,en-CA,English,followup,0.38461538461538464,13,13,10,1,1,7,1.0,1.0,1.0,16,16,0,0.14285714285714285,0.1488,0.8404519410573293,0.9533254854166621,transkriptor
cardiology_2_followup,cardiology,en-CA,English,followup,0.6428571428571429,14,11,7,1,3,1,1.0,0.875,0.9333333333333333,8,7,0,0.21839080459770116,0.23773841961852862,0.7515556026104259,0.9282664772777098,transkriptor
cardiology_6_followup,cardiology,en-CA,English,followup,0.5384615384615384,13,10,3,2,3,2,1.0,1.0,1.0,10,10,0,0.19907407407407407,0.17438921651221567,0.7507664480574753,0.9202315281437258,transkriptor
cardiology_7_consultation,cardiology,en-CA,English,consultation,0.5833333333333334,12,10,7,1,5,1,1.0,0.9473684210526315,0.972972972972973,19,18,0,0.14965986394557823,0.12165605095541401,0.8172348638168543,0.9461344131513159,transkriptor
cardiology_2_consultation,cardiology,en-CA,English,consultation,0.9333333333333333,15,14,10,5,12,5,1.0,0.9375,0.967741935483871,16,15,0,0.14540059347181009,0.14363143631436315,0.8230302271588937,0.9455365789231978,transkriptor
cardiology_6_consultation,cardiology,en-CA,English,consultation,0.6470588235294118,17,16,7,1,7,2,1.0,1.0,1.0,12,12,0,0.2033898305084746,0.17647058823529413,0.7435456204216706,0.9387626569508275,transkriptor
cardiology_1_followup,cardiology,en-CA,English,followup,0.5555555555555556,9,6,11,1,8,0,1.0,0.7647058823529411,0.8666666666666666,17,13,0,0.25213675213675213,0.25664388762338647,0.6950640305712386,0.8974662477611355,transkriptor
cardiology_5_followup,cardiology,en-CA,English,followup,0.6923076923076924,13,10,4,2,2,2,1.0,0.75,0.8571428571428571,16,12,0,0.25,0.24358974358974358,0.7034225917779294,0.9316682787749779,transkriptor
cardiology_3_consultation,cardiology,en-CA,English,consultation,0.5294117647058824,17,14,11,2,11,2,1.0,1.0,1.0,19,19,0,0.16262975778546712,0.15225334957369063,0.7971020729419834,0.9386726231399493,transkriptor
cardiology_5_consultation,cardiology,en-CA,English,consultation,0.5833333333333334,12,10,13,3,12,3,1.0,1.0,1.0,22,22,0,0.12609970674486803,0.1210224308815858,0.8762286148587489,0.9661794299510604,transkriptor
