file,specialty,language_code,language,visit_type,speaker_accuracy,precision,recall,f1_score,medical_terms_count,wer,cer,bleu,cosine_similarity,model
cardiology_8_consultation,cardiology,en-CA,English,consultation,0.2222222222222222,1.0,0.8181818181818182,0.9,11,0.28205128205128205,0.2627032520325203,0.7219093739705518,0.9280463608048244,whisper-v3-large
cardiology_9_followup,cardiology,en-CA,English,followup,0.5833333333333334,1.0,1.0,1.0,8,0.13392857142857142,0.13365155131264916,0.8455608950820077,0.9587477255392723,whisper-v3-large
cardiology_9_consultation,cardiology,en-CA,English,consultation,0.5,1.0,0.8888888888888888,0.9411764705882353,9,0.22878228782287824,0.2184434270765206,0.7903278802615383,0.9308935169969192,whisper-v3-large
cardiology_10_followup,cardiology,en-CA,English,followup,0.6153846153846154,1.0,0.8,0.888888888888889,10,0.2600896860986547,0.25842696629213485,0.7248895644095498,0.9000517386764849,whisper-v3-large
cardiology_4_followup,cardiology,en-CA,English,followup,0.6428571428571429,1.0,0.8333333333333334,0.9090909090909091,6,0.2305194805194805,0.20058309037900873,0.724531147914657,0.9328405056632029,whisper-v3-large
cardiology_7_followup,cardiology,en-CA,English,followup,0.5833333333333334,1.0,1.0,1.0,5,0.21161825726141079,0.20263975155279504,0.8515984661080362,0.9524431407665915,whisper-v3-large
cardiology_10_consultation,cardiology,en-CA,English,consultation,0.7777777777777778,1.0,1.0,1.0,13,0.19292604501607716,0.175787728026534,0.7676292007838592,0.9284682796884269,whisper-v3-large
cardiology_3_followup,cardiology,en-CA,English,followup,0.38461538461538464,1.0,1.0,1.0,8,0.13392857142857142,0.1464,0.8500045549495115,0.9582762475732078,whisper-v3-large
cardiology_2_followup,cardiology,en-CA,English,followup,0.6923076923076923,1.0,0.8,0.888888888888889,5,0.2222222222222222,0.2391008174386921,0.7421050013627787,0.9241546963848833,whisper-v3-large
cardiology_6_followup,cardiology,en-CA,English,followup,0.9230769230769231,1.0,1.0,1.0,6,0.2175925925925926,0.1996630160067397,0.7659327162763597,0.913928930704155,whisper-v3-large
cardiology_7_consultation,cardiology,en-CA,English,consultation,0.75,1.0,0.8888888888888888,0.9411764705882353,9,0.14625850340136054,0.12356687898089172,0.8247003244914248,0.9431823047983184,whisper-v3-large
cardiology_2_consultation,cardiology,en-CA,English,consultation,0.4,1.0,0.9166666666666666,0.9565217391304348,12,0.21364985163204747,0.22764227642276422,0.7280946692731607,0.916796669494305,whisper-v3-large
cardiology_6_consultation,cardiology,en-CA,English,consultation,0.6470588235294118,1.0,1.0,1.0,8,0.2,0.17647058823529413,0.7408906583377404,0.9409841029534367,whisper-v3-large
cardiology_1_followup,cardiology,en-CA,English,followup,0.4444444444444444,1.0,0.7,0.8235294117647058,10,0.3076923076923077,0.2976461655277145,0.6281362905213006,0.8868316043362497,whisper-v3-large
cardiology_5_followup,cardiology,en-CA,English,followup,0.6923076923076923,1.0,0.5,0.6666666666666666,4,0.2465277777777778,0.24156545209176788,0.7077809017262295,0.9330735099646837,whisper-v3-large
cardiology_3_consultation,cardiology,en-CA,English,consultation,0.8235294117647058,1.0,1.0,1.0,9,0.19377162629757785,0.17417783191230207,0.7921669257331644,0.9283311569929984,whisper-v3-large
cardiology_5_consultation,cardiology,en-CA,English,consultation,1.0,1.0,1.0,1.0,8,0.1436950146627566,0.12467396974439228,0.835887993619012,0.9556594304903454,whisper-v3-large
cardiology_4_consultation,cardiology,en-CA,English,consultation,0.8125,1.0,0.875,0.9333333333333333,8,0.16408668730650156,0.14332603938730853,0.8147979657448318,0.9359508833908512,whisper-v3-large
cardiology_8_followup,cardiology,en-CA,English,followup,0.6153846153846154,1.0,1.0,1.0,8,0.3813559322033898,0.23106060606060605,0.6827140457617223,0.5743906506156558,whisper-v3-large
cardiology_1_consultation,cardiology,en-CA,English,consultation,0.7058823529411765,1.0,1.0,1.0,11,0.18248175182481752,0.15547856214811606,0.7907313225878679,0.9465534759663352,whisper-v3-large
cardiology_8_consultation,cardiology,fr-CA,French,consultation,0.75,1.0,0.6666666666666666,0.8,12,0.47413793103448276,0.5029693924166286,0.48740341284299643,0.8286976514308207,whisper-v3-large
cardiology_9_followup,cardiology,fr-CA,French,followup,0.625,1.0,0.4444444444444444,0.6153846153846153,9,0.5614035087719298,0.5760626398210291,0.27852902234779203,0.8145657333607822,whisper-v3-large
cardiology_9_consultation,cardiology,fr-CA,French,consultation,0.9166666666666666,1.0,0.46153846153846156,0.631578947368421,13,0.5431034482758621,0.5242718446601942,0.3763489137552745,0.8156681823876656,whisper-v3-large
cardiology_10_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.42857142857142855,0.6,7,0.49693251533742333,0.514799154334038,0.45664643598831345,0.7931312161196011,whisper-v3-large
cardiology_4_followup,cardiology,fr-CA,French,followup,0.8181818181818182,1.0,0.875,0.9333333333333333,8,0.23243243243243245,0.2200873362445415,0.7322522056368292,0.9185330652204718,whisper-v3-large
cardiology_7_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.18181818181818182,0.3076923076923077,11,0.548951048951049,0.6102794411177644,0.2940361176609015,0.6417138046896839,whisper-v3-large
cardiology_10_consultation,cardiology,fr-CA,French,consultation,0.875,1.0,0.75,0.8571428571428571,12,0.24324324324324326,0.2518450184501845,0.6974786000305653,0.8752550953925117,whisper-v3-large
