dataset,specialty,language,conversation_id,wer,similarity,bleu,medical_term_accuracy,speaker_accuracy
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_8_consultation,0.23283582089552238,0.8357954545454546,0.8357954545454546,0.6,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_9_followup,0.14418604651162792,0.9259574468085107,0.9259574468085107,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_9_consultation,0.1685823754789272,0.8721965112139551,0.8721965112139551,0.8333333333333334,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_10_followup,0.22748815165876776,0.7754010695187166,0.7754010695187166,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_4_followup,0.2354948805460751,0.7085604360371914,0.7085604360371914,0.8,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_7_followup,0.1391304347826087,0.9223140495867769,0.9223140495867769,0.6666666666666666,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_10_consultation,0.16387959866220736,0.888494528246081,0.888494528246081,0.9090909090909091,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_3_followup,0.14218009478672985,0.9216867469879518,0.9216867469879518,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_2_followup,0.22983870967741934,0.41747197526092,0.41747197526092,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_6_followup,0.17560975609756097,0.9103385178408051,0.9103385178408051,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_7_consultation,0.1357142857142857,0.9089692101740294,0.9089692101740294,0.8333333333333334,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_2_consultation,0.14067278287461774,0.8823700261399942,0.8823700261399942,0.5,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_6_consultation,0.1672473867595819,0.9126149802890933,0.9126149802890933,0.8333333333333334,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_1_followup,0.29017857142857145,0.7819614711033275,0.7819614711033275,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_5_followup,0.25830258302583026,0.8290630975143404,0.8290630975143404,0.8,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_3_consultation,0.13405797101449277,0.8711139896373057,0.8711139896373057,0.875,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_5_consultation,0.12923076923076923,0.9370860927152318,0.9370860927152318,0.8571428571428571,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_4_consultation,0.1553398058252427,0.7387599177196591,0.7387599177196591,0.8333333333333334,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_8_followup,0.20444444444444446,0.8781288469429627,0.8781288469429627,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,cardiology_1_consultation,0.19900497512437812,0.5545583372697213,0.5545583372697213,0.7142857142857143,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_8_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_9_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_9_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_10_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_4_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_7_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_10_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_3_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_2_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_6_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_7_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_2_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_6_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_1_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_5_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_3_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_5_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_4_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_8_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,cardiology_1_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_8_consultation,0.20066889632107024,0.0999026921829387,0.0999026921829387,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_9_followup,0.13732394366197184,0.9148286392941974,0.9148286392941974,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_9_consultation,0.18110236220472442,0.17329974811083124,0.17329974811083124,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_10_followup,0.2094017094017094,0.6257031588057118,0.6257031588057118,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_4_followup,0.16,0.8306208559373116,0.8306208559373116,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_3_followup,0.1169811320754717,0.941958041958042,0.941958041958042,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_7_followup,0.176,0.571875,0.571875,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_7_consultation,0.17142857142857143,0.8095071653268088,0.8095071653268088,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_6_followup,0.21052631578947367,0.8431641518061271,0.8431641518061271,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_2_consultation,0.14506172839506173,0.2806136680613668,0.2806136680613668,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_2_followup,0.18214285714285713,0.4267226302903113,0.4267226302903113,0.6666666666666666,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_5_followup,0.1220472440944882,0.9300347893312717,0.9300347893312717,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_6_consultation,0.16228070175438597,0.9119732999582811,0.9119732999582811,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_1_followup,0.29245283018867924,0.7704004054738977,0.7704004054738977,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_3_consultation,0.16716417910447762,0.8853541416566627,0.8853541416566627,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_5_consultation,0.22357723577235772,0.8605577689243028,0.8605577689243028,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_10_consultation,0.20168067226890757,0.8069022185702547,0.8069022185702547,0.75,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_8_followup,0.17454545454545456,0.8635253054101222,0.8635253054101222,0.75,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_4_consultation,0.18983957219251338,0.8679536679536679,0.8679536679536679,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,gp_1_consultation,0.18397626112759644,0.8993249192838274,0.8993249192838274,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_8_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_9_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_9_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_10_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_4_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_3_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_7_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_7_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_6_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_2_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_2_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_5_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_6_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_1_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_3_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_5_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_10_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_8_followup,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_4_consultation,0.0,1.0,1.0,1.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,gp_1_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_8_consultation,0.24477611940298508,0.15345122646891043,0.15345122646891043,0.6,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_9_followup,0.13953488372093023,0.9264142917907273,0.9264142917907273,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_9_consultation,0.1685823754789272,0.8721965112139551,0.8721965112139551,0.8333333333333334,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_10_followup,0.23696682464454977,0.8691796008869179,0.8691796008869179,0.8571428571428571,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_4_followup,0.21160409556313994,0.7163798597833014,0.7163798597833014,0.8,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_7_followup,0.1391304347826087,0.9223140495867769,0.9223140495867769,0.6666666666666666,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_10_consultation,0.1939799331103679,0.879160419790105,0.879160419790105,0.9090909090909091,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_3_followup,0.14691943127962084,0.9185946872322194,0.9185946872322194,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_2_followup,0.22983870967741934,0.11859838274932614,0.11859838274932614,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_6_followup,0.2,0.47689463955637706,0.47689463955637706,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_7_consultation,0.14642857142857144,0.8997668997668997,0.8997668997668997,0.8333333333333334,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_2_consultation,0.14067278287461774,0.9203025014543339,0.9203025014543339,0.5,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_6_consultation,0.1986062717770035,0.48423127463863336,0.48423127463863336,0.6666666666666666,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_1_followup,0.25892857142857145,0.8178277801817395,0.8178277801817395,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_5_followup,0.25461254612546125,0.8282982791586998,0.8282982791586998,0.8,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_3_consultation,0.17028985507246377,0.31057124097176625,0.31057124097176625,0.875,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_5_consultation,0.12615384615384614,0.941017316017316,0.941017316017316,0.8571428571428571,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_4_consultation,0.1262135922330097,0.9002898550724637,0.9002898550724637,0.8333333333333334,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_8_followup,0.22666666666666666,0.8567839195979899,0.8567839195979899,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,cardiology_1_consultation,0.19154228855721392,0.442638179284719,0.442638179284719,0.7142857142857143,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_8_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_9_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_9_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_10_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_4_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_7_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_10_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_3_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_2_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_6_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_7_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_2_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_6_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_1_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_5_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_3_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_5_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_4_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_8_followup,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,cardiology_1_consultation,0.0,1.0,1.0,1.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,gp_8_consultation,0.2040133779264214,0.1411764705882353,0.1411764705882353,1.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,gp_9_followup,0.14084507042253522,0.9133537206931702,0.9133537206931702,1.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,gp_9_consultation,0.17060367454068243,0.4577711144427786,0.4577711144427786,1.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,gp_10_followup,0.18803418803418803,0.8766177739430544,0.8766177739430544,1.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,gp_4_followup,0.16,0.8654194327097163,0.8654194327097163,1.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,gp_3_followup,0.10943396226415095,0.9449093444909344,0.9449093444909344,1.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,gp_7_followup,0.112,0.9411764705882353,0.9411764705882353,1.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,gp_7_consultation,0.15714285714285714,0.8422152560083594,0.8422152560083594,1.0,0.0
