dataset,specialty,language,wer_mean,wer_std,similarity_mean,similarity_std,bleu_mean,bleu_std,medical_term_accuracy_mean,medical_term_accuracy_std,speaker_accuracy_mean,speaker_accuracy_std
data-med noisy-Azure for French-Nova for English,cardiology,en-CA,0.18757238999889875,0.04467380084229074,0.7127455457601589,0.27418756366559116,0.7127455457601589,0.27418756366559116,0.8372997835497836,0.1473389913910246,0.0,0.0
data-med noisy-Azure for French-Nova for English,cardiology,fr-CA,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
data-med noisy-Azure for French-Nova for English,gp,en-CA,0.17872397985822847,0.047408328509533894,0.685837054487745,0.307745902981033,0.685837054487745,0.307745902981033,0.9583333333333334,0.10295346135355704,0.0,0.0
data-med noisy-Azure for French-Nova for English,gp,fr-CA,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
data-med-Azure for English-Nova for French,cardiology,en-CA,0.5833645368905388,0.07282749273319167,0.5482875009894667,0.08798971076230888,0.5482875009894667,0.08798971076230888,0.2600703463203463,0.21448265986047255,0.0,0.0
data-med-Azure for English-Nova for French,cardiology,fr-CA,0.40129886483764715,0.1140555299663222,0.6377863221670468,0.12781160025994726,0.6377863221670468,0.12781160025994726,0.714920634920635,0.2609615175841275,0.0,0.0
data-med-Azure for English-Nova for French,gp,en-CA,0.5862027243971891,0.06593777938012813,0.5707560186989067,0.07025495038860724,0.5707560186989067,0.07025495038860724,0.5958333333333333,0.38452807713515946,0.0,0.0
data-med-Azure for English-Nova for French,gp,fr-CA,0.3144069067882304,0.0929279719543822,0.7480929913320257,0.11383914698190767,0.7480929913320257,0.11383914698190767,0.7666666666666667,0.3447602777623997,0.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,en-CA,0.18367097222698306,0.047754714180971984,0.8236421352776014,0.13430235656027373,0.8236421352776014,0.13430235656027373,0.8527759740259742,0.14593694111871466,0.0,0.0
data-med-semi-noise-Azure for French-Nova for English,cardiology,fr-CA,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,en-CA,0.1804100833734886,0.03888108647081227,0.7157111134167968,0.26441460357083196,0.7157111134167968,0.26441460357083196,0.9583333333333334,0.10295346135355704,0.0,0.0
data-med-semi-noise-Azure for French-Nova for English,gp,fr-CA,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
data-med-without-noise-original-Azure for French-Nova for English,cardiology,en-CA,0.19068629040251414,0.039530041572587125,0.7963502725770667,0.17498377587337247,0.7963502725770667,0.17498377587337247,0.8344426406926407,0.14748792105323175,0.0,0.0
data-med-without-noise-original-Azure for French-Nova for English,cardiology,fr-CA,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
data-med-without-noise-original-Azure for French-Nova for English,gp,en-CA,0.18370198255971132,0.046499453469630775,0.8737794613608335,0.06437721456961414,0.8737794613608335,0.06437721456961414,0.9708333333333334,0.09078523593805045,0.0,0.0
data-med-without-noise-original-Azure for French-Nova for English,gp,fr-CA,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
